forecast_date,yhat,yhat_lower,yhat_upper,material
2024-09-30,209989.01668437198,13999.267778783384,13999.267779127042,Sand
2024-10-31,154629.08769916827,4988.0350868707,4988.0350872678,Sand
2024-11-30,75111.83378923676,2503.7277926988727,2503.727793254247,Sand
2024-12-31,177972.67538771135,5741.054044016403,5741.054045533356,Sand
2025-01-31,-163662.7066695779,-5279.442152307358,-5279.442148937453,Sand
2025-02-28,-178517.89860549368,-6375.639238866235,-6375.639233113805,Sand
2025-03-31,-381905.497646953,-27278.964121628876,-27278.96411398525,Sand
